Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WarriorsGuild.Common\WarriorsGuild.Common.csproj,File,WarriorsGuild.Common\WarriorsGuild.Common.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WarriorsGuild.Common\WarriorsGuild.Common.csproj,File,WarriorsGuild.Common\Helpers.cs,47,16,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,"return Regex.IsMatch( email,                      @""^(?("""")("""".+?(?<!\\)""""@)|(([0-9a-z]((\.(?!\.))|[-!#\$%&'\*\+/=\?\^`\{\}\|~\w])*)(?<=[0-9a-z])@))"" +                      @""(?(\[)(\[(\d{1,3}\.){3}\d{1,3}\])|(([0-9a-z][-0-9a-z]*[0-9a-z]*\.)+[a-z0-9][\-a-z0-9]{0,22}[a-z0-9]))$"",                      RegexOptions.IgnoreCase, TimeSpan.FromMilliseconds( 250 ) );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WarriorsGuild.Common\WarriorsGuild.Common.csproj,File,WarriorsGuild.Common\Helpers.cs,21,16,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,"email = Regex.Replace( email, @""(@)(.+)$"", DomainMapper,                                        RegexOptions.None, TimeSpan.FromMilliseconds( 200 ) );"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WarriorsGuild.Common\WarriorsGuild.Common.csproj,File,WarriorsGuild.Common\CustomFileResult.cs,49,21,T:System.Net.Http.HttpContent,,,,,"response.Content.Headers.ContentType = new MediaTypeHeaderValue( ContentType ?? ""application/octet-stream"" );"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WarriorsGuild.Common\WarriorsGuild.Common.csproj,File,WarriorsGuild.Common\CustomFileResult.cs,44,25,T:System.Net.Http.HttpContent,,,,,"response.Content.Headers.ContentDisposition = new ContentDispositionHeaderValue( ""attachment"" )                           {                               FileName = FileDownloadName                           };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WarriorsGuild.Common\WarriorsGuild.Common.csproj,File,WarriorsGuild.Common\CustomFileResult.cs,38,21,T:System.Net.Http.HttpContent,,,,,"var response = new HttpResponseMessage( HttpStatusCode.OK )                       {                           Content = new StreamContent( File.OpenRead( FilePath ) ),                       };"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WarriorsGuild.Crosses\WarriorsGuild.Crosses.csproj,File,WarriorsGuild.Crosses\WarriorsGuild.Crosses.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.Authentication.Facebook 6.0.16,,,,,"Microsoft.AspNetCore.Authentication.Facebook, 6.0.16  Recommendation:  Remove Microsoft.AspNetCore.Authentication.Facebook, and replace with new package Microsoft.AspNetCore.Authentication.Facebook 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.Authentication.Google 6.0.16,,,,,"Microsoft.AspNetCore.Authentication.Google, 6.0.16  Recommendation:  Remove Microsoft.AspNetCore.Authentication.Google, and replace with new package Microsoft.AspNetCore.Authentication.Google 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 6.0.16,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 6.0.16  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.Authentication.OpenIdConnect 6.0.16,,,,,"Microsoft.AspNetCore.Authentication.OpenIdConnect, 6.0.16  Recommendation:  Remove Microsoft.AspNetCore.Authentication.OpenIdConnect, and replace with new package Microsoft.AspNetCore.Authentication.OpenIdConnect 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.DataProtection.EntityFrameworkCore 3.1.32,,,,,"Microsoft.AspNetCore.DataProtection.EntityFrameworkCore, 3.1.32  Recommendation:  Remove Microsoft.AspNetCore.DataProtection.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.DataProtection.EntityFrameworkCore 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 3.1.32,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 3.1.32  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 3.1.32,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 3.1.32  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.Identity.UI 6.0.16,,,,,"Microsoft.AspNetCore.Identity.UI, 6.0.16  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.Mvc.NewtonsoftJson 6.0.16,,,,,"Microsoft.AspNetCore.Mvc.NewtonsoftJson, 6.0.16  Recommendation:  Remove Microsoft.AspNetCore.Mvc.NewtonsoftJson, and replace with new package Microsoft.AspNetCore.Mvc.NewtonsoftJson 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WarriorsGuild\WarriorsGuild.csproj,File,WarriorsGuild\WarriorsGuild.csproj,,,Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 6.0.16,,,,,"Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, 6.0.16  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, and replace with new package Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 10.0.2"
